Order_ID,Route,Distance_KM,Fuel_Consumption_L,Toll_Charges_IDR,Traffic_Delay_Minutes,Weather_Impact
ORD000001,Makassar-Jakarta,1482,218,485000,165,Heavy_Rain
ORD000002,Jakarta-Surabaya,792,98,325000,52,None
ORD000003,Makassar-Balikpapan,935,142,295000,245,Fog
ORD000004,Medan-Padang,1420,175,0,78,Heavy_Rain
ORD000005,Surabaya-Makassar,1310,168,0,135,Storm
ORD000006,Jakarta-Semarang,465,68,185000,110,Traffic_Jam
ORD000007,Balikpapan-Samarinda,315,48,98000,35,None
ORD000008,Makassar-Manado,685,92,0,178,Heavy_Rain
ORD000009,Palembang-Jakarta,675,88,255000,95,Flood
ORD000010,Surabaya-Bandung,735,105,0,125,None
ORD000011,Makassar-Surabaya,1285,172,0,210,Heavy_Rain
ORD000012,Jakarta-Makassar,1490,225,0,145,Storm
ORD000013,Medan-Makassar,2450,320,0,180,Heavy_Rain
ORD000014,Jakarta-Balikpapan,1250,185,0,95,None
ORD000015,Makassar-Pontianak,1680,235,0,260,Fog
ORD000016,Surabaya-Medan,1850,245,0,75,Heavy_Rain
ORD000017,Bandung-Makassar,1520,210,0,190,Storm
ORD000018,Makassar-Padang,1980,275,0,165,Heavy_Rain
ORD000019,Jakarta-Manado,2150,290,0,120,None
ORD000020,Semarang-Makassar,1390,195,0,155,Heavy_Rain
ORD000021,Makassar-Bandung,1515,222,0,205,Flood
ORD000022,Palembang-Makassar,1720,240,0,140,Heavy_Rain
ORD000023,Makassar-Samarinda,980,145,0,85,None
ORD000024,Surabaya-Pontianak,1420,198,0,175,Heavy_Rain
ORD000025,Jakarta-Padang,980,135,0,65,None
ORD000026,Makassar-Semarang,1340,188,0,230,Traffic_Jam
ORD000027,Balikpapan-Jakarta,1245,180,420000,110,Fog
ORD000028,Makassar-Med an,2480,335,0,195,Heavy_Rain
ORD000029,Manado-Jakarta,2180,295,0,150,Storm
ORD000030,Jakarta-Samarinda,1320,190,0,80,None
ORD000031,Makassar-Pontianak,1675,230,0,270,Heavy_Rain
ORD000032,Surabaya-Palembang,1180,160,0,90,None
ORD000033,Bandung-Balikpapan,1380,195,0,135,Heavy_Rain
ORD000034,Makassar-Padang,1995,280,0,160,Storm
ORD000035,Jakarta-Manado,2140,285,0,115,None
ORD000036,Semarang-Makassar,1405,200,0,180,Heavy_Rain
ORD000037,Makassar-Bandung,1530,225,0,200,Flood
ORD000038,Palembang-Makassar,1735,245,0,130,Heavy_Rain
ORD000039,Makassar-Samarinda,995,148,0,70,None
ORD000040,Surabaya-Pontianak,1435,205,0,165,Heavy_Rain
ORD000041,Jakarta-Padang,995,140,0,55,None
ORD000042,Makassar-Semarang,1355,192,0,220,Traffic_Jam
ORD000043,Balikpapan-Jakarta,1260,185,430000,105,Fog
ORD000044,Makassar-Medan,2495,340,0,185,Heavy_Rain
ORD000045,Manado-Jakarta,2195,300,0,145,Storm
ORD000046,Jakarta-Samarinda,1335,195,0,75,None
ORD000047,Makassar-Pontianak,1690,235,0,255,Heavy_Rain
ORD000048,Surabaya-Palembang,1195,165,0,85,None
ORD000049,Bandung-Balikpapan,1395,200,0,130,Heavy_Rain
ORD000050,Makassar-Padang,2010,285,0,155,Storm
ORD000051,Jakarta-Manado,2160,292,0,110,None
ORD000052,Semarang-Makassar,1420,205,0,175,Heavy_Rain
ORD000053,Makassar-Bandung,1545,230,0,195,Flood
ORD000054,Palembang-Makassar,1750,250,0,125,Heavy_Rain
ORD000055,Makassar-Samarinda,1010,152,0,65,None
ORD000056,Surabaya-Pontianak,1450,210,0,160,Heavy_Rain
ORD000057,Jakarta-Padang,1010,145,0,50,None
ORD000058,Makassar-Semarang,1370,198,0,215,Traffic_Jam
ORD000059,Balikpapan-Jakarta,1275,190,440000,100,Fog
ORD000060,Makassar-Medan,2510,345,0,180,Heavy_Rain
ORD000061,Manado-Jakarta,2210,305,0,140,Storm
ORD000062,Jakarta-Samarinda,1350,200,0,70,None
ORD000063,Makassar-Pontianak,1705,240,0,250,Heavy_Rain
