Warehouse_ID,Location,Product_Category,Current_Stock_Units,Reorder_Level,Storage_Cost_per_Unit,Last_Restocked_Date
WH001_Makassar,Makassar,Oli Top1,1660,750,28.18,2026-04-01
WH002_Jakarta,Jakarta,Oli Federal,2438,601,17.81,2026-04-02
WH003_Surabaya,Surabaya,Oli Aspira,1130,567,21.01,2026-04-03
WH004_Balikpapan,Balikpapan,Sparepart Motor,930,629,16.02,2026-04-04
WH005_Medan,Medan,Oli Top1,3191,893,18.82,2026-04-05
WH001_Makassar,Makassar,Oli Federal,2015,756,26.11,2026-04-06
WH002_Jakarta,Jakarta,Oli Aspira,821,732,22.78,2026-04-07
WH003_Surabaya,Surabaya,Sparepart Motor,1274,538,22.2,2026-04-08
WH004_Balikpapan,Balikpapan,Oli Top1,2847,667,21.59,2026-04-09
WH005_Medan,Medan,Oli Federal,989,654,26.13,2026-04-10
WH001_Makassar,Makassar,Oli Aspira,2699,534,32.7,2026-04-11
WH002_Jakarta,Jakarta,Sparepart Motor,2328,610,30.48,2026-04-12
WH003_Surabaya,Surabaya,Oli Top1,1446,500,23.11,2026-04-13
WH004_Balikpapan,Balikpapan,Oli Federal,2097,867,31.96,2026-04-14
WH005_Medan,Medan,Oli Aspira,2861,721,21.94,2026-04-15
WH001_Makassar,Makassar,Sparepart Motor,2163,571,22.92,2026-04-16
WH002_Jakarta,Jakarta,Oli Top1,2278,743,15.62,2026-04-17
WH003_Surabaya,Surabaya,Oli Federal,3053,560,19.66,2026-04-18
WH004_Balikpapan,Balikpapan,Oli Aspira,1821,869,18.74,2026-04-19
WH005_Medan,Medan,Sparepart Motor,2300,670,30.16,2026-04-20
WH001_Makassar,Makassar,Oli Top1,2379,641,22.11,2026-04-21
WH002_Jakarta,Jakarta,Oli Federal,1795,749,28.09,2026-04-22
WH003_Surabaya,Surabaya,Oli Aspira,1255,694,24.38,2026-04-23
WH004_Balikpapan,Balikpapan,Sparepart Motor,3143,692,22.0,2026-04-24
WH005_Medan,Medan,Oli Top1,1137,846,29.92,2026-04-25
WH001_Makassar,Makassar,Oli Federal,3064,731,25.93,2026-04-26
WH002_Jakarta,Jakarta,Oli Aspira,1292,520,20.33,2026-04-27
WH003_Surabaya,Surabaya,Sparepart Motor,864,824,32.76,2026-04-28
WH004_Balikpapan,Balikpapan,Oli Top1,2167,608,18.58,2026-04-29
WH005_Medan,Medan,Oli Federal,2295,542,29.68,2026-04-30
WH001_Makassar,Makassar,Oli Aspira,1191,642,29.22,2026-05-01
WH002_Jakarta,Jakarta,Sparepart Motor,1178,740,31.67,2026-05-02
WH003_Surabaya,Surabaya,Oli Top1,2888,507,30.54,2026-05-03
WH004_Balikpapan,Balikpapan,Oli Federal,2663,747,20.96,2026-05-04
WH005_Medan,Medan,Oli Aspira,1302,886,27.04,2026-05-05
WH001_Makassar,Makassar,Sparepart Motor,1604,578,25.64,2026-05-06
WH002_Jakarta,Jakarta,Oli Top1,2370,706,17.15,2026-05-07
WH003_Surabaya,Surabaya,Oli Federal,2285,610,28.69,2026-05-08
WH004_Balikpapan,Balikpapan,Oli Aspira,1302,734,19.61,2026-05-09
WH005_Medan,Medan,Sparepart Motor,1192,686,22.7,2026-05-10
WH001_Makassar,Makassar,Oli Top1,2284,658,15.57,2026-05-11
WH002_Jakarta,Jakarta,Oli Federal,1363,575,27.52,2026-05-12
WH003_Surabaya,Surabaya,Oli Aspira,3078,716,24.72,2026-05-13
WH004_Balikpapan,Balikpapan,Sparepart Motor,1340,515,31.97,2026-05-14
